index_content,word,nature,content_type,index_word
39,喜欢,v,pos,8
39,直接,ad,pos,9
39,喝,vg,pos,10
39,吃,v,pos,11
39,甜,a,pos,12
39,东西,ns,pos,13
39,喝,vg,pos,14
39,起来,v,pos,15
39,解,v,pos,16
39,腻,v,pos,17
39,快递,v,pos,18
39,力,n,pos,19
39,送货,v,pos,20
39,很快,d,pos,21
39,价位,n,pos,22
39,口感,n,pos,23
39,淡淡的,z,pos,24
39,茶味,n,pos,25
39,营养成分,l,pos,26
39,应该,v,pos,27
39,没,d,pos,28
39,营养,n,pos,29
39,喜欢,v,pos,30
39,喝,vg,pos,31
39,能量,n,pos,32
39,喝,vg,pos,33
39,心情,n,pos,34
39,会,v,pos,35
39,好算,v,pos,36
39,能量,n,pos,37
40,京东,ns,pos,0
40,自营,vn,pos,1
40,发货,n,pos,2
40,很快,d,pos,3
40,快递,v,pos,4
40,员,zg,pos,5
40,配送,v,pos,6
40,家,q,pos,7
40,东方,s,pos,8
40,树叶,n,pos,9
40,青柑,n,pos,10
40,普洱,ns,pos,11
40,非常,d,pos,12
40,好喝,v,pos,13
40,卡路里,q,pos,14
40,含糖,n,pos,15
40,喝,vg,pos,16
40,起来,v,pos,17
40,比较,d,pos,18
40,健康,a,pos,19
40,口感,n,pos,20
40,非常,d,pos,21
40,信赖,n,pos,22
40,京东,ns,pos,23
40,信赖,n,pos,24
40,农夫山泉,nz,pos,25
41,东方,s,pos,0
41,树叶,n,pos,1
41,几年,m,pos,2
41,家中,s,pos,3
41,常备,n,pos,4
41,饮料,n,pos,5
41,已经,d,pos,6
41,京东,ns,pos,7
41,买,v,pos,8
41,多次,m,pos,9
41,每次,r,pos,10
41,送来,v,pos,11
41,最新,d,pos,12
41,生产日期,n,pos,13
41,岁数,n,pos,14
41,喝,vg,pos,15
41,不了,v,pos,16
41,太甜,nr,pos,17
41,那种,r,pos,18
41,碳酸,n,pos,19
41,饮料,n,pos,20
41,更,d,pos,21
41,注重,v,pos,22
41,养生,v,pos,23
41,这种,r,pos,24
41,茶饮料,n,pos,25
41,合适,a,pos,26
41,几年,m,pos,27
